date,sku,demand,day_of_week,month,day_of_year,is_weekend,is_promo,weather_index,lag_1,lag_3,lag_7,lag_14,rolling_mean_7,rolling_mean_14,rolling_mean_30,sku_code
2024-01-31,Apple,103,2,1,31,0,0,29.8,104.0,118.0,113.0,94.0,105.28571428571429,101.28571428571429,101.03333333333333,0
2024-02-01,Apple,100,3,2,32,0,0,31.91,103.0,83.0,107.0,91.0,103.85714285714286,101.92857142857143,101.43333333333334,0
2024-02-02,Apple,104,4,2,33,0,0,33.09,100.0,104.0,104.0,85.0,102.85714285714286,102.57142857142857,100.5,0
2024-02-03,Apple,137,5,2,34,1,0,28.27,104.0,103.0,108.0,125.0,102.85714285714286,103.92857142857143,101.23333333333333,0
2024-02-04,Apple,125,6,2,35,1,0,32.38,137.0,100.0,118.0,108.0,107.0,104.78571428571429,103.03333333333333,0
2024-02-05,Apple,106,0,2,36,0,0,33.34,125.0,104.0,83.0,82.0,108.0,106.0,104.13333333333334,0
2024-02-06,Apple,90,1,2,37,0,0,32.1,106.0,137.0,104.0,96.0,111.28571428571429,107.71428571428571,104.2,0
2024-02-07,Apple,98,2,2,38,0,0,28.58,90.0,125.0,103.0,113.0,109.28571428571429,107.28571428571429,103.36666666666666,0
2024-02-08,Apple,81,3,2,39,0,0,31.91,98.0,106.0,100.0,107.0,108.57142857142857,106.21428571428571,102.23333333333333,0
2024-02-09,Apple,106,4,2,40,0,0,31.3,81.0,90.0,104.0,104.0,105.85714285714286,104.35714285714286,101.93333333333334,0
2024-02-10,Apple,137,5,2,41,1,0,31.08,106.0,98.0,137.0,108.0,106.14285714285714,104.5,102.36666666666666,0
2024-02-11,Apple,114,6,2,42,1,0,30.29,137.0,81.0,125.0,118.0,106.14285714285714,106.57142857142857,104.2,0
2024-02-12,Apple,86,0,2,43,0,0,34.13,114.0,106.0,106.0,83.0,104.57142857142857,106.28571428571429,105.6,0
2024-02-13,Apple,94,1,2,44,0,0,31.62,86.0,137.0,90.0,104.0,101.71428571428571,106.5,104.1,0
2024-02-14,Apple,85,2,2,45,0,0,34.7,94.0,114.0,98.0,103.0,102.28571428571429,105.78571428571429,103.03333333333333,0
2024-02-15,Apple,116,3,2,46,0,0,34.28,85.0,86.0,81.0,100.0,100.42857142857143,104.5,102.66666666666667,0
2024-02-16,Apple,97,4,2,47,0,0,30.06,116.0,94.0,106.0,104.0,105.42857142857143,105.64285714285714,103.33333333333333,0
2024-02-17,Apple,155,5,2,48,1,0,30.99,97.0,85.0,137.0,137.0,104.14285714285714,105.14285714285714,103.43333333333334,0
2024-02-18,Apple,133,6,2,49,1,0,31.75,155.0,116.0,114.0,125.0,106.71428571428571,106.42857142857143,105.56666666666666,0
2024-02-19,Apple,87,0,2,50,0,0,27.85,133.0,97.0,86.0,106.0,109.42857142857143,107.0,107.16666666666667,0
2024-02-20,Apple,94,1,2,51,0,0,33.32,87.0,155.0,94.0,90.0,109.57142857142857,105.64285714285714,105.9,0
2024-02-21,Apple,107,2,2,52,0,0,31.38,94.0,133.0,85.0,98.0,109.57142857142857,105.92857142857143,105.43333333333334,0
2024-02-22,Apple,100,3,2,53,0,0,30.88,107.0,87.0,116.0,81.0,112.71428571428571,106.57142857142857,106.26666666666667,0
2024-02-23,Apple,95,4,2,54,0,0,31.82,100.0,94.0,97.0,106.0,110.42857142857143,107.92857142857143,106.4,0
2024-02-24,Apple,137,5,2,55,1,0,34.36,95.0,107.0,155.0,137.0,110.14285714285714,107.14285714285714,105.8,0
2024-02-25,Apple,144,6,2,56,1,0,33.21,137.0,100.0,133.0,114.0,107.57142857142857,107.14285714285714,106.8,0
2024-02-26,Apple,91,0,2,57,0,0,34.56,144.0,95.0,87.0,86.0,109.14285714285714,109.28571428571429,108.13333333333334,0
2024-02-27,Apple,90,1,2,58,0,0,33.27,91.0,137.0,94.0,94.0,109.71428571428571,109.64285714285714,107.56666666666666,0
2024-02-28,Apple,103,2,2,59,0,0,32.91,90.0,144.0,107.0,85.0,109.14285714285714,109.35714285714286,106.63333333333334,0
2024-02-29,Apple,105,3,2,60,0,0,32.81,103.0,91.0,100.0,116.0,108.57142857142857,110.64285714285714,107.3,0
2024-03-01,Apple,111,4,3,61,0,0,32.23,105.0,90.0,95.0,97.0,109.28571428571429,109.85714285714286,107.33333333333333,0
2024-03-02,Apple,117,5,3,62,1,0,35.07,111.0,103.0,137.0,155.0,111.57142857142857,110.85714285714286,107.6,0
2024-03-03,Apple,124,6,3,63,1,0,33.59,117.0,105.0,144.0,133.0,108.71428571428571,108.14285714285714,108.16666666666667,0
2024-03-04,Apple,112,0,3,64,0,0,32.96,124.0,111.0,91.0,87.0,105.85714285714286,107.5,108.83333333333333,0
2024-03-05,Apple,102,1,3,65,0,0,37.29,112.0,117.0,90.0,94.0,108.85714285714286,109.28571428571429,108.0,0
2024-03-06,Apple,117,2,3,66,0,0,31.3,102.0,124.0,103.0,107.0,110.57142857142857,109.85714285714286,107.23333333333333,0
2024-03-07,Apple,78,3,3,67,0,0,31.52,117.0,112.0,105.0,100.0,112.57142857142857,110.57142857142857,107.6,0
2024-03-08,Apple,115,4,3,68,0,0,35.17,78.0,102.0,111.0,95.0,108.71428571428571,109.0,107.2,0
2024-03-09,Apple,152,5,3,69,1,0,36.59,115.0,117.0,117.0,137.0,109.28571428571429,110.42857142857143,107.76666666666667,0
2024-03-10,Apple,147,6,3,70,1,0,35.2,152.0,78.0,124.0,144.0,114.28571428571429,111.5,110.13333333333334,0
2024-03-11,Apple,119,0,3,71,0,0,35.17,147.0,115.0,112.0,91.0,117.57142857142857,111.71428571428571,111.5,0
2024-03-12,Apple,154,1,3,72,0,1,33.98,119.0,152.0,102.0,90.0,118.57142857142857,113.71428571428571,110.9,0
2024-03-13,Apple,107,2,3,73,0,0,35.6,154.0,147.0,117.0,103.0,126.0,118.28571428571429,112.23333333333333,0
2024-03-14,Apple,119,3,3,74,0,0,36.33,107.0,119.0,78.0,105.0,124.57142857142857,118.57142857142857,112.93333333333334,0
2024-03-15,Apple,102,4,3,75,0,0,36.77,119.0,154.0,115.0,111.0,130.42857142857142,119.57142857142857,113.76666666666667,0
2024-03-16,Apple,143,5,3,76,1,0,33.02,102.0,107.0,152.0,117.0,128.57142857142858,118.92857142857143,114.33333333333333,0
2024-03-17,Apple,142,6,3,77,1,0,33.58,143.0,119.0,147.0,124.0,127.28571428571429,120.78571428571429,115.23333333333333,0
2024-03-18,Apple,125,0,3,78,0,0,35.46,142.0,102.0,119.0,112.0,126.57142857142857,122.07142857142857,116.73333333333333,0
2024-03-19,Apple,101,1,3,79,0,0,32.97,125.0,143.0,154.0,102.0,127.42857142857143,123.0,115.73333333333333,0
2024-03-20,Apple,99,2,3,80,0,0,34.65,101.0,142.0,107.0,117.0,119.85714285714286,122.92857142857143,114.66666666666667,0
2024-03-21,Apple,98,3,3,81,0,0,35.39,99.0,125.0,119.0,78.0,118.71428571428571,121.64285714285714,115.06666666666666,0
2024-03-22,Apple,103,4,3,82,0,0,35.05,98.0,101.0,102.0,115.0,115.71428571428571,123.07142857142857,115.2,0
2024-03-23,Apple,131,5,3,83,1,0,34.87,103.0,99.0,143.0,152.0,115.85714285714286,122.21428571428571,115.06666666666666,0
2024-03-24,Apple,130,6,3,84,1,0,33.24,131.0,98.0,142.0,147.0,114.14285714285714,120.71428571428571,116.1,0
2024-03-25,Apple,98,0,3,85,0,0,31.14,130.0,103.0,125.0,119.0,112.42857142857143,119.5,117.26666666666667,0
2024-03-26,Apple,94,1,3,86,0,0,32.82,98.0,131.0,101.0,154.0,108.57142857142857,118.0,115.96666666666667,0
2024-03-27,Apple,105,2,3,87,0,0,34.59,94.0,130.0,99.0,107.0,107.57142857142857,113.71428571428571,114.3,0
2024-03-28,Apple,102,3,3,88,0,0,36.34,105.0,98.0,98.0,119.0,108.42857142857143,113.57142857142857,114.76666666666667,0
2024-03-29,Apple,101,4,3,89,0,0,35.0,102.0,94.0,103.0,102.0,109.0,112.35714285714286,115.16666666666667,0
2024-03-30,Apple,148,5,3,90,1,0,37.63,101.0,105.0,131.0,143.0,108.71428571428571,112.28571428571429,115.1,0
2024-03-31,Apple,137,6,3,91,1,0,35.4,148.0,102.0,130.0,142.0,111.14285714285714,112.64285714285714,116.53333333333333,0
